,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel,Total Investment Costs
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,6,1,4,0,5,8,0,4,1,8,5,5,0,0,5229773.896104155,463339556.53211516,30700000.0,0.0,0.0013991368378403724,0.002439505443942804,0.0,494039556.53211516
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,3,0,0,2,1,7,1,3,6,6,9,5,0,1,19448822.570459466,418363387.0775025,30700000.0,1143.8255511689379,0.002512354094847167,0.0,0.0,449063387.0775025
67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,5,0,1,2,0,7,7,4,9,0,5,2,3,3,5916838.240225706,467793826.99890584,30700000.0,154.81769646932506,0.0023611571951533492,0.0,0.0,498493826.99890584
117,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,2,4,1,0,10,0,1,2,5,4,1,0,0,42582882.563822076,332493097.00174713,115300000.0,2767.7839423632586,0.0,0.00011703506515299619,0.004801204359458913,447793097.00174713
127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,0,2,4,1,0,4,3,1,1,3,4,1,0,0,58276427.843628,343332450.9621969,30700000.0,3278.252423779776,0.0003357928410816894,0.006482637426685453,0.0030756765261329647,374032450.9621969
142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,0,4,0,2,7,7,1,0,3,2,2,2,1,0,21431740.360994745,389400063.7080907,30700000.0,1177.96817382454,0.002679005227489778,0.0,0.0,420100063.7080907
195,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,0,7,1,2,0,6,2,0,3,6,0,2,0,0,35941673.03845835,345343490.0881696,115300000.0,2179.6649294844083,0.0006204012657418394,0.00047872387136749174,0.003244928198681703,460643490.0881696
261,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,9,0,0,3,3,0,5,3,7,2,1,3,5,3,3,9296981.449105373,423956656.58828354,61400000.0,531.5346376558575,0.0,0.00222574224542877,0.0,485356656.58828354
314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,3,0,0,3,0,6,3,4,2,2,3,2,0,0,43804605.8185538,318636913.3485571,30700000.0,2138.016220754264,0.00236494103638166,0.0,0.004056160248352129,349336913.3485571
359,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,3,5,2,0,8,0,3,3,5,4,3,0,0,0.0,355194886.25859207,115300000.0,0.0,0.0,0.0,0.0,470494886.25859207
398,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,1,5,0,7,5,4,2,3,4,1,1,3,23243831.272724893,389229068.71292466,30700000.0,578.6589995328633,0.0033685357183984178,0.0,0.00435963728037634,419929068.71292466
